Image Count,Property Type,Property Price,Compound,City,Governorate,Bedrooms,Bathrooms,Area
10,Twin House,"15,800,000 EGP",Lake West 2,Sheikh Zayed City,Giza, 3, 3, 261 sqm
11,Apartment,"10,800,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 159 sqm
20,Townhouse,"20,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 220 sqm
18,Apartment,"7,850,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 104 sqm
10,Villa,"17,000,000 EGP",Atrio,Sheikh Zayed City,Giza, 5, 5, 322 sqm
11,Apartment,"8,178,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 174 sqm
8,Penthouse,"14,076,325 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 210 sqm
13,Townhouse,"19,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 220 sqm
10,Twin House,"14,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 4, 4, 291 sqm
11,Apartment,"13,912,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 140 sqm
29,Apartment,"8,179,892 EGP",Village West,Sheikh Zayed City,Giza, 3, 2, 149 sqm
11,Apartment,"7,099,600 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 77 sqm
10,Penthouse,"13,400,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 210 sqm
10,Apartment,"10,500,000 EGP",Zed Towers,Sheikh Zayed City,Giza, 4, 3, 233 sqm
10,Villa,"17,000,000 EGP",Atrio,Sheikh Zayed City,Giza, 5, 5, 322 sqm
18,Apartment,"8,181,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 154 sqm
10,Apartment,"9,600,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 3, 127 sqm
13,Apartment,"6,000,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
23,Twin House,"25,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 5, 4, 375 sqm
10,Twin House,Ask for price,Naia West,Sheikh Zayed City,Giza, 3, 4, 255 sqm
10,Apartment,"6,141,200 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 110 sqm
28,Apartment,"1,388,819 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 1, 1, 85 sqm
15,Apartment,"5,505,553 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 120 sqm
10,Villa,"80,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 5, 4, 600 sqm
15,Townhouse,Ask for price,Allegria,Sheikh Zayed City,Giza, 3, 3, 300 sqm
15,Villa,"22,550,000 EGP",Royal City,Sheikh Zayed City,Giza, 4, 4, 440 sqm
15,Apartment,"4,692,727 EGP",Kayan,Sheikh Zayed City,Giza, 2, 1, 90 sqm
13,Apartment,"9,000,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 150 sqm
11,Apartment,"5,320,000 EGP",AlKarma Kay,Sheikh Zayed City,Giza, 2, 2, 140 sqm
15,Apartment,"6,591,828 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
13,Townhouse,"9,130,904 EGP",Lake West,Sheikh Zayed City,Giza, 4, 5, 239 sqm
24,Villa,"15,500,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 500 sqm
10,Apartment,"4,500,000 EGP",Kayan,Sheikh Zayed City,Giza, 1, 1, 85 sqm
10,Twin House,"5,800,000 EGP",Park Valley,Sheikh Zayed City,Giza, 3, 3, 200 sqm
10,Apartment,"4,250,000 EGP",Kayan,Sheikh Zayed City,Giza, 2, 2, 100 sqm
19,Townhouse,"22,000,000 EGP",Elan Cairo Gate,Sheikh Zayed City,Giza, 4, 5, 234 sqm
20,Apartment,"5,900,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
30,Apartment,"9,500,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 3, 3, 160 sqm
12,Townhouse,"9,298,944 EGP",Lake West 2,Sheikh Zayed City,Giza, 5, 5, 239 sqm
20,Penthouse,"13,500,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 152 sqm
11,Apartment,"8,606,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 167 sqm
30,Duplex,"14,000,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 200 sqm
12,Villa,Ask for price,Royal Meadows,Sheikh Zayed City,Giza, 5, 7, 755 sqm
16,Apartment,"4,438,500 EGP",Village West,Sheikh Zayed City,Giza, 1, 2, 75 sqm
16,Apartment,"5,750,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 2, 130 sqm
8,Apartment,"6,290,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 3, 100 sqm
10,Apartment,"10,400,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 130 sqm
10,Apartment,"4,860,000 EGP",Terrace Compound,Sheikh Zayed City,Giza, 2, 2, 108 sqm
12,Apartment,"3,317,230 EGP",Kayan,Sheikh Zayed City,Giza, 1, 1, 65 sqm
10,Villa,"28,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 4, 4, 375 sqm
10,Duplex,"11,559,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 225 sqm
10,Duplex,"9,200,000 EGP",Village West,Sheikh Zayed City,Giza, 3, 3, 175 sqm
10,Penthouse,"13,000,000 EGP",Village West,Sheikh Zayed City,Giza, 4, 4, 243 sqm
16,Villa,"19,000,000 EGP",The Estates,Sheikh Zayed City,Giza, 4, 4, 200 sqm
11,Townhouse,"15,200,000 EGP",Etapa,Sheikh Zayed City,Giza, 4, 3, 291 sqm
12,Villa,Ask for price,Patio Al Zahraa,Sheikh Zayed City,Giza, 4, 4, 300 sqm
17,Apartment,"8,300,000 EGP",Park Side Residence Zed Towers,Sheikh Zayed City,Giza, 2, 2, 130 sqm
10,Villa,"20,000,000 EGP",Al  Rabwa,Sheikh Zayed City,Giza, 5, 5, 763 sqm
10,Villa,"120,000,000 EGP",Allegria,Sheikh Zayed City,Giza, 6, 6," 1,350 sqm"
15,Apartment,"3,750,000 EGP",Al Khamayel city,Sheikh Zayed City,Giza, 1, 1, 75 sqm
10,Apartment,"8,300,000 EGP",Kayan,Sheikh Zayed City,Giza, 3, 3, 150 sqm
